Voter ID;Jan Sedláček (stud PrF MU);David Vyhlídal (stud PrF MU);Šárka Vyskočilová (stud PrF MU);Kryštof Zika (stud PrF MU);Kateřina Audyová (stud PrF MU);Matyáš Ličeník (stud PrF MU);Barbora Bulánková (stud PrF MU);Lucie Králová (stud PrF MU);Tomáš Neugebauer (stud PrF MU);Martin Plášek (stud PrF MU);Karolína Šandorová (stud PrF MU);Jan Zubík (stud PrF MU);Roman Karchut (stud PrF MU);Nevenka Petříčková (stud PrF MU);Martin Zigmund (stud PrF MU, ESF MU);Tereza Vodičková (stud PrF MU);Robin Kašpar (stud PrF MU);Boris Šabík (stud PrF MU);Adam Jelínek (stud PrF MU);Adam Jasiok (stud PrF MU);Jan Dzuba (stud PrF MU);Jakub Nováček (stud PrF MU);Jan Schraml (stud PrF MU);Dominik Kalouda (stud PrF MU);Albert Jilg (stud PrF MU);Vítek Souchop (stud PrF MU);Kristýna Bohlová (stud PrF MU);Tomáš Pospíšil (stud PrF MU)
d7nvmn4m9n;;;;;;;;;;;;;;;;;X;;;;;;;;;;;
d7pefe8gum;;;;;;;;;;;;;;;;;;;;;;;;;;;;X
d8gaevtnlx;;;;;;;X;;X;;;;;;X;;;X;;;;;;;;;X;
d8yw8mw3oy;X;;;;;;;;;;;;;;;;;;;;;;;;;X;;
d9lw384sdx;;;;;;;X;;X;X;X;;;X;;X;;X;;;;;;;;;X;
ectlg0b86m;X;;X;;;;;;;;X;;;;X;;;;;;;;;;;;;
ei3p9ixf6v;;;;;;;;X;;;;;;;;;;;;;;;;;;;;
ekm3i7d1ex;;;;X;;;;;X;;;;;;;;;;;;;;;;;;;
ekzk0yvcfi;;;;;X;;;;;;;;;;;;;;;;;;;X;;X;;
ek7eysmnwb;;;;X;;;;;;;;;;;;;;;;;;;;;;;;
ek9e1pg8km;;;;;;;;;;;;;;;;;;;;;;;;;;X;;
ek9m34x9xx;;;;X;;;;;X;X;;;;;X;;X;;;;;;X;;X;X;;
enm4lon801;;;;X;;;;;;;;;;;;;;;;;;;;;;;;
en14jspuxu;;;;X;;;;;;X;;;;X;X;;;;;;X;X;X;;;X;;
eork9en8h4;;;X;;X;;X;;;X;X;;;X;;;;X;;;;;;;;;X;
epeoa4i40g;X;;;X;;X;;;;;;;;;;X;;;;;;;;X;;;;
ersgwpzzcd;;;;;;;;;;;;;;;;;X;;;;;;;;;;;
ey8stne1w5;;;;;;;;;;;;;;;;;X;;;;;;;;;X;;
ezczshokxa;X;;;;;;;;;;;;;;X;;;;;;;X;;X;X;;;
ez1r63cq84;;;;;;;;;;;X;;;;X;X;X;;;;;;;;;;;
ez82f8t237;;;;;;;;;;;;X;;X;;;;;;;;;;;;;;X
e1rt8lv6g7;;;;;;;;;;;;;;;;;;;;;;;X;;;;;
e514cry1l5;;;;X;;;;;X;;;;;;;;;;;;;;;;;;;
e7rnfyfmy5;;;X;;;;;;;;;;;X;;;;X;;;;;;;;;;
e7w5r3k4wg;;;;;;;;;;;;;;;;;;;;;;;;;X;;;
e81kvdl9ic;;;;X;;;;;;;X;;;;;;;;;;;;;;;;;
e9gb1prc4f;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
fczt9p32ft;;;;;;;;;;;;;;;;;;;;;;X;;X;;;;
fc4kb5ihe9;;;;X;;;;;;;;;;;;;;;;;;X;X;;;;;
fddo1ja8dt;;;;;;;;;;;;;;X;;;;;;;;;;;;;;
fd8oyg5ve7;;;;;;;;;;;X;;;;;;;;;;;;;;;;;
fezc5gwr0x;;;;;;;;;;;;;;;;;;;X;;;;;;;;;
ffwgd014kb;;;;;;;;;;;;;;;;X;;;;;;;;;;;;
fg9wb42ick;;;X;X;X;;;;;;;;;;X;;;;;;;;;;;;;
fik28wy8ji;;;;;;X;;;;;;;;;;;;;;;;;;;;;;X
fjyedco0dc;;;;X;;;;;;X;X;;;X;;;;;X;X;;;;;;;;
flj623d5yd;;;;;;;;X;;;;;;;;;;;;;;;;;;;;
fml6iormr3;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
fm8y5mc939;;;;;;;;;;;X;;;;;;;;;;;;;;;;;
fns1qyphvh;;;;;;;;;;;X;;;X;;;;;;;;;;;;X;;
fpjukza0am;;;;;;;;;;;;;;;;;X;;;;;X;;;;;;X
franjyl1wu;;;;X;;;;;;;;;;;;;;;;;;;;;;;;
fsdziz0zcl;;;;;;;;;;;X;X;X;X;;;;X;;;;;;;;;;
ftesycllcw;;;X;;X;;;;;;X;;;;;X;;;;;;;;;;;X;
ft6pq4uzy9;;;;;;;;;;;;X;;;X;;X;;;;;;;;;;;
fua61xvc0e;;;;X;;;;;;;;;;;;;;;;;;;;;;;;
fw4e2bin2o;;;;;X;;X;;;;X;;;X;;;;;;;;;;;;;X;
fxm0xy5pff;;;;;;;;;;;;;;X;X;X;X;;;X;X;X;X;;;;;
fx7mqg563a;;;;X;X;;;;;;;;;X;;;;;;;;;;;;;;
f1nrs6fwzv;;;;;;;;;X;;;;;;;X;;;;;;;;;;;;
f2hlqtz2ww;;;;;;;;;;;;;;;;;;;;;;;X;;;;;
f6mkx9ew2g;;;;;;;;X;;X;;;;;X;;;;;;;;;;X;;;
f7cxo8911n;;;X;;X;;X;X;;;X;;;X;;X;;;;;;;;;;;X;
f8omnl3dzd;;X;X;;;X;;;X;X;;X;X;X;;;;;;;;;;;;;;
f9xs99tjvc;;;;;;;;;;;;;;X;;;;;;;;;;;;;;
ggng61i7b6;;;;X;;;;;;;;;;;X;X;;;;;;X;;;;X;;
ggq97of1te;;;;;;;;X;;;;;;;;;;;;;;;;;;;;
gh1nig01g4;;;;;;;;;;X;;;;;;;;X;;;;;;;;;;
gitjzm465d;;;X;;;;;;;;;;;;;;;;;;;X;;;;;;X
gjn62xvnzz;X;;;;;;;;X;;;;;X;;;;;;;;;;;;;X;
glehra52zg;;;;X;X;;X;X;X;;;;;;;;;;;;;;;;;;;
gl2lq6gj5i;;;;;;;;X;;X;X;;;;X;;;;;;;X;;X;X;X;;
gl57ff8iwo;;;;X;;;;;;;;;;X;;X;;;;;;;;;;;;
gmfxwe0r0q;;;;;;;;;;;X;;;;;;;;;;;;;;;;;
gofunullfm;;;;;;;;;;X;X;;;;;;;;;X;;;;;;;;
gto7ciy5x6;;X;;X;;;;;;;;;;;;;;;;;;;;;;;;
gwgp4vkm8o;;;;;;;;;;;;;;;;X;;;;;;;;;X;X;;
gwy25tz9dy;;;;;;;;X;;;;X;X;;;;X;;X;;;;;;;;;
gxdb7h06m3;;;;;;;;;;;X;;;;;X;;;;;;;;;;;;
gyh5k6d82s;;;X;X;;;X;;;;;;;;;;;;;;;;;;;;;
gy6tkjggiv;;;;;;;;;X;;;;;;;;;;;;;;;;;;;
gzwzdiopfz;X;;;;;;X;;;;;;X;;X;;;X;;;;X;;X;;;;
g1jatbujnl;;;;;;;;;;X;;;;;;;X;;;;;;;X;;X;;
g2ab8o0tuo;;;;X;X;;;;;;;X;;;X;;;;;X;;X;;X;X;;;
g3m05r89v3;;;;;;;;;;X;X;;;;;;;X;X;;;X;X;;;;;
g5lpk0lqan;;;;;;;;;;;;;;;;X;;;;;;;;;;;;
g6f2e7fjb7;;;;;;;;;;;;;;;;X;;;;;;;;;;;;
g6jg1fpj6y;;;;;;;X;;;;X;;;X;;;;;;;;;;;;;X;
g7ptb5ooqv;;;;;;;;;;;;;;;;;;;;;;;;;;X;;
g7rhhtya3z;;;;X;X;;X;;X;;;;;;;;;X;X;X;;X;;;;;;
g8tzyu38xa;;;;X;;;;;;;X;;;;;;;;;X;;;;;;;;
havkquwksu;;;;;;;;;;;;;;;X;;;;;;;;;;;X;;
hcb00f0vso;;;;X;;;;;;;X;;;;;;X;;;;;;;;;;X;
hf9ai8dllo;;;;;;;;;;X;X;;;;;;;;;;;;;;;;;
hiz4ixi997;;;;X;;;;;;;;;;;;;;;;;;;;;;;;
hkyt00r3av;;;;X;;;;X;;;;;;;;;;;;;;;;;;;;
hl1vfvptqe;;;;;;;;;;;;;;;;;;X;;;;;;;;;;
hnhi06f289;;;;;;;;;;;;;;;;;;;;;;;;;X;;;
hnqhosl6po;;;;;;X;;;;X;;;;X;;;X;;;;;;;X;;X;X;
hn9t2vcjfz;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
hoe5kn3mzw;;;;X;;;;;;;;;;;;;;;;;;;;;;;;
ho84urltpq;;;;X;;;X;;;;;;;;;;;;;;;;;;;;;
hp5wxevl8a;;;;X;;;;;;;;;;;;;;;;;;;;;;;;
hq7e5r8xo4;;;;;;X;;;X;;;;;X;;X;;;;;;;;;;;X;
hscdke20e6;;;;X;;;;;;;;;;;X;X;;;;;;;;;X;;;
hs8n4n9clx;;;;;;;X;X;X;;X;;;;X;;;;;;;;;;X;X;;
htjcepfp29;;X;X;;;;;;;;;X;;;X;;;;;;;;;;;X;;
